sqt-tests: 6 node element
self-interaction matrix test
============================
N   = 8
nqk = 175
-0.176378 -0.176378 0.174246 0.174246 (2.775558e-16,1.942890e-16)
-0.130991 -0.399631 0.125756 0.383659 (2.686394e-01,2.579029e-01)
-0.067363 -0.12479 0.0647223 0.119898 (5.742698e-02,5.517578e-02)
-0.0102955 -0.00386859 0.0099966 0.00375752 (6.426873e-03,6.239087e-03)
-0.703722 -0.716411 0.691615 0.704086 (1.268876e-02,1.247047e-02)
-0.129009 -0.13763 0.126143 0.134572 (8.620647e-03,8.429142e-03)
-0.0223149 -0.0573219 0.0211212 0.0542507 (3.500700e-02,3.312950e-02)
-0.634532 -0.551248 0.564598 0.490493 (8.328351e-02,7.410456e-02)
-0.0758507 -0.13418 0.0612659 0.108394 (5.832890e-02,4.712811e-02)
-0.0375442 -0.0400878 0.0270547 0.028887 (2.543654e-03,1.832299e-03)
-0.349235 -0.309206 0.226498 0.200537 (4.002868e-02,2.596074e-02)
-0.0210882 -0.0146374 0.0124361 0.00861799 (6.450851e-03,3.818081e-03)
-0.0343881 -0.0394365 0.0190596 0.0218577 (5.048432e-03,2.798086e-03)
-0.387095 -0.367727 0.364615 0.346372 (1.936756e-02,1.824279e-02)
-0.142078 -0.128439 0.134245 0.121358 (1.363857e-02,1.288666e-02)
-0.121899 -0.134496 0.117127 0.129231 (1.259732e-02,1.210415e-02)
-0.0782036 -0.0812209 0.0765457 0.0795001 (3.017310e-03,2.954393e-03)
-0.485715 -0.488674 0.475128 0.478023 (2.959495e-03,2.894990e-03)
-0.20836 -0.209639 0.196791 0.197999 (1.279009e-03,1.207992e-03)
-0.00291023 -0.00279773 0.00256964 0.00247026 (1.125007e-04,9.938026e-05)
-0.397129 -0.394724 0.31987 0.317932 (2.405808e-03,1.937769e-03)
-0.150456 -0.146482 0.108558 0.10569 (3.973926e-03,2.867289e-03)
-0.0800761 -0.0807748 0.0522119 0.0526675 (6.987446e-04,4.556019e-04)
-0.0539546 -0.0549952 0.0320763 0.0326949 (1.040582e-03,6.186305e-04)
-0.0377701 -0.0377587 0.0211857 0.0211793 (1.134227e-05,6.362004e-06)
-0.165823 -0.166693 0.157462 0.158288 (8.698837e-04,8.260210e-04)
-0.0194939 -0.0189029 0.0185679 0.0180051 (5.909533e-04,5.628778e-04)
-0.304651 -0.299835 0.29419 0.28954 (4.815793e-03,4.650443e-03)
-0.1459 -0.145156 0.143068 0.142339 (7.440240e-04,7.295853e-04)
-0.0828715 -0.0859164 0.081102 0.0840818 (3.044842e-03,2.979831e-03)
-0.0547861 -0.0545772 0.0518833 0.051685 (2.088768e-04,1.983810e-04)
-0.116224 -0.117101 0.103523 0.104304 (8.765632e-04,7.809959e-04)
-0.073671 -0.073901 0.0596907 0.059877 (2.299681e-04,1.862786e-04)
-0.0274297 -0.027279 0.0198291 0.0197211 (1.507440e-04,1.079606e-04)
-0.0636126 -0.063589 0.0416983 0.0416828 (2.356714e-05,1.544855e-05)
-0.0189644 -0.0189032 0.0113073 0.0112708 (6.123509e-05,3.649644e-05)
